Date,Adj Close,Close,High,Low,Open,Volume
2022-11-07 00:00:00+00:00,2762.006104,3830,3830,3730,3750,74309100
2022-11-08 00:00:00+00:00,2711.525635,3760,3800,3730,3800,71681200
2022-11-09 00:00:00+00:00,2624.987305,3640,3720,3630,3690,117969800
2022-11-10 00:00:00+00:00,2509.603271,3480,3560,3450,3500,153812400
2022-11-11 00:00:00+00:00,2516.814941,3490,3540,3440,3500,96575300
2022-11-14 00:00:00+00:00,2524.026367,3500,3560,3490,3490,60258000
2022-11-15 00:00:00+00:00,2531.238037,3510,3570,3480,3550,55915600
2022-11-16 00:00:00+00:00,2574.50708,3570,3640,3520,3610,86525300
2022-11-17 00:00:00+00:00,2588.929932,3590,3610,3500,3530,73229600
2022-11-18 00:00:00+00:00,2588.929932,3590,3620,3560,3590,40162000
2022-11-21 00:00:00+00:00,2661.044922,3690,3710,3610,3610,65550500
2022-11-22 00:00:00+00:00,2668.256592,3700,3750,3650,3720,59965000
2022-11-23 00:00:00+00:00,2704.313965,3750,3790,3720,3720,45573200
2022-11-24 00:00:00+00:00,2704.313965,3750,3780,3740,3760,24418800
2022-11-25 00:00:00+00:00,2689.891113,3730,3750,3690,3750,33140500
2022-11-28 00:00:00+00:00,2697.102539,3740,3780,3720,3740,40277700
2022-11-29 00:00:00+00:00,2798.063477,3880,3880,3780,3790,94151500
2022-11-30 00:00:00+00:00,2790.852051,3870,3930,3850,3900,152171400
2022-12-01 00:00:00+00:00,2812.486572,3900,3930,3890,3930,56516100
2022-12-02 00:00:00+00:00,2776.428955,3850,3890,3820,3890,36882200
2022-12-05 00:00:00+00:00,2725.948486,3780,3890,3760,3880,51037700
2022-12-06 00:00:00+00:00,2747.583008,3810,3830,3750,3800,56845900
2022-12-07 00:00:00+00:00,2762.006104,3830,3870,3780,3820,59277300
2022-12-08 00:00:00+00:00,2697.102539,3740,3840,3710,3830,63665900
2022-12-09 00:00:00+00:00,2653.833252,3680,3740,3630,3730,67555400
2022-12-12 00:00:00+00:00,2740.371582,3800,3820,3670,3680,76652000
2022-12-13 00:00:00+00:00,2697.102539,3740,3790,3740,3790,51354800
2022-12-14 00:00:00+00:00,2798.063477,3880,3940,3760,3770,131274900
2022-12-15 00:00:00+00:00,2812.486572,3900,3970,3850,3890,69993700
2022-12-16 00:00:00+00:00,2805.274902,3890,3920,3850,3870,63989300
2022-12-19 00:00:00+00:00,2862.967041,3970,3970,3870,3870,58801000
2022-12-20 00:00:00+00:00,2826.909668,3920,3990,3910,3970,47259900
2022-12-21 00:00:00+00:00,2826.909668,3920,3930,3880,3890,36433600
2022-12-22 00:00:00+00:00,2834.121338,3930,3940,3900,3910,32321000
2022-12-23 00:00:00+00:00,2747.583008,3810,3860,3800,3860,118489300
2022-12-26 00:00:00+00:00,2740.371582,3800,3850,3780,3820,45950200
2022-12-27 00:00:00+00:00,2704.313965,3750,3810,3730,3800,60813800
