Date,Adj Close,Close,High,Low,Open,Volume
2022-11-07 00:00:00+00:00,5100,5100,5100,4660,4720,16384100
2022-11-08 00:00:00+00:00,4940,4940,5125,4910,5100,5934600
2022-11-09 00:00:00+00:00,4850,4850,4980,4810,4940,12851700
2022-11-10 00:00:00+00:00,4550,4550,4900,4550,4820,13975400
2022-11-11 00:00:00+00:00,5675,5675,5675,4970,5000,57344200
2022-11-14 00:00:00+00:00,5725,5725,6075,5550,5825,31172800
2022-11-15 00:00:00+00:00,5900,5900,6050,5550,5725,14183600
2022-11-16 00:00:00+00:00,6250,6250,6300,5900,6025,27246100
2022-11-17 00:00:00+00:00,6025,6025,6250,5975,6250,8237900
2022-11-18 00:00:00+00:00,6125,6125,6150,5850,6025,8355100
2022-11-21 00:00:00+00:00,5700,5700,6125,5700,6125,12456300
2022-11-22 00:00:00+00:00,5325,5325,5675,5325,5575,12939300
2022-11-23 00:00:00+00:00,5275,5275,5400,5025,5225,21625700
2022-11-24 00:00:00+00:00,5175,5175,5475,5100,5325,10660400
2022-11-25 00:00:00+00:00,5100,5100,5200,5025,5175,6183700
2022-11-28 00:00:00+00:00,4820,4820,5200,4800,5075,12290800
2022-11-29 00:00:00+00:00,4690,4690,4950,4670,4810,14837200
2022-11-30 00:00:00+00:00,4590,4590,4780,4560,4720,38681700
2022-12-01 00:00:00+00:00,4510,4510,4780,4490,4720,17213700
2022-12-02 00:00:00+00:00,4200,4200,4510,4200,4510,22336900
2022-12-05 00:00:00+00:00,3950,3950,4140,3910,3930,28368300
2022-12-06 00:00:00+00:00,4050,4050,4110,3840,3950,15206500
2022-12-07 00:00:00+00:00,3980,3980,4090,3900,4060,12982500
2022-12-08 00:00:00+00:00,3790,3790,4010,3720,3980,19846000
2022-12-09 00:00:00+00:00,3530,3530,3860,3530,3820,16735600
2022-12-12 00:00:00+00:00,3300,3300,3490,3290,3480,18206100
2022-12-13 00:00:00+00:00,4120,4120,4120,3300,3300,56505300
2022-12-14 00:00:00+00:00,4060,4060,4400,4020,4250,28102400
2022-12-15 00:00:00+00:00,4040,4040,4150,3860,4020,15005000
2022-12-16 00:00:00+00:00,4060,4060,4060,3880,3980,15005000
2022-12-19 00:00:00+00:00,3840,3840,4070,3790,4040,9573100
2022-12-20 00:00:00+00:00,3630,3630,3840,3590,3840,15360200
2022-12-21 00:00:00+00:00,3680,3680,3790,3630,3630,7634500
2022-12-22 00:00:00+00:00,3680,3680,3770,3610,3760,4980700
2022-12-23 00:00:00+00:00,3740,3740,3780,3630,3670,8854400
2022-12-26 00:00:00+00:00,3510,3510,3750,3500,3720,7954500
2022-12-27 00:00:00+00:00,3580,3580,3660,3510,3510,13795300
2022-12-28 00:00:00+00:00,3520,3520,3600,3510,3600,7254800
2022-12-29 00:00:00+00:00,3510,3510,3550,3400,3520,9680100
2022-12-30 00:00:00+00:00,3720,3720,3850,3480,3540,30668500
2023-01-02 00:00:00+00:00,3630,3630,3850,3610,3750,6302800
2023-01-03 00:00:00+00:00,3540,3540,3710,3530,3630,8062000
2023-01-04 00:00:00+00:00,3510,3510,3590,3460,3570,7443000
2023-01-05 00:00:00+00:00,3270,3270,3540,3270,3520,18791500
2023-01-06 00:00:00+00:00,3060,3060,3210,3050,3200,27403900
2023-01-09 00:00:00+00:00,2980,2980,3170,2920,3100,13444500
2023-01-10 00:00:00+00:00,2970,2970,3050,2880,3000,17239100
2023-01-11 00:00:00+00:00,2780,2780,3010,2770,2980,18603200
2023-01-12 00:00:00+00:00,3200,3200,3240,2800,2800,47957400
2023-01-13 00:00:00+00:00,3050,3050,3290,3010,3250,24763500
2023-01-16 00:00:00+00:00,3090,3090,3130,2860,3080,23449500
2023-01-17 00:00:00+00:00,3050,3050,3170,3010,3080,21428000
2023-01-18 00:00:00+00:00,3120,3120,3160,3030,3060,10158800
2023-01-19 00:00:00+00:00,3210,3210,3270,3100,3100,13280400
2023-01-20 00:00:00+00:00,3210,3210,3260,3180,3220,7143800
2023-01-24 00:00:00+00:00,3190,3190,3390,3100,3250,20565700
2023-01-25 00:00:00+00:00,3450,3450,3540,3150,3200,47957200
2023-01-26 00:00:00+00:00,3580,3580,3660,3450,3450,24347700
2023-01-27 00:00:00+00:00,3330,3330,3650,3330,3600,28652500
2023-01-30 00:00:00+00:00,3220,3220,3370,3140,3330,16252900
2023-01-31 00:00:00+00:00,3210,3210,3260,3150,3240,10074900
2023-02-01 00:00:00+00:00,3190,3190,3280,3160,3210,14289700
2023-02-02 00:00:00+00:00,3600,3600,3650,3240,3240,51419600
2023-02-03 00:00:00+00:00,3640,3640,3790,3560,3660,29408700
2023-02-06 00:00:00+00:00,3630,3630,3680,3510,3600,10301000
2023-02-07 00:00:00+00:00,3470,3470,3730,3450,3630,25747700
2023-02-08 00:00:00+00:00,3430,3430,3540,3420,3500,10703400
2023-02-09 00:00:00+00:00,3300,3300,3470,3280,3460,20400000
2023-02-10 00:00:00+00:00,3070,3070,3070,3070,3070,11315200
2023-02-13 00:00:00+00:00,2870,2870,3030,2860,2860,58579500
2023-02-14 00:00:00+00:00,2820,2820,2960,2780,2910,41644600
2023-02-15 00:00:00+00:00,2870,2870,2920,2820,2820,26865800
2023-02-16 00:00:00+00:00,3030,3030,3070,2830,2900,75244000
2023-02-17 00:00:00+00:00,2980,2980,3080,2970,3030,24550400
2023-02-20 00:00:00+00:00,2960,2960,3020,2920,3000,18899300
2023-02-21 00:00:00+00:00,2960,2960,2990,2940,2980,10862800
2023-02-22 00:00:00+00:00,2760,2760,2910,2760,2910,46867100
2023-02-23 00:00:00+00:00,2600,2600,2790,2570,2760,50393700
2023-02-24 00:00:00+00:00,2530,2530,2680,2520,2600,30454900
2023-02-27 00:00:00+00:00,2470,2470,2530,2430,2530,50844500
2023-02-28 00:00:00+00:00,2510,2510,2580,2440,2440,380263900
2023-03-01 00:00:00+00:00,2690,2690,2830,2620,2620,142251100
2023-03-02 00:00:00+00:00,2850,2850,2880,2660,2710,57942300
2023-03-03 00:00:00+00:00,2750,2750,2900,2750,2860,43809000
2023-03-06 00:00:00+00:00,2770,2770,2830,2740,2780,21953800
2023-03-07 00:00:00+00:00,2600,2600,2800,2580,2780,52131300
2023-03-08 00:00:00+00:00,2560,2560,2660,2520,2590,33946500
2023-03-09 00:00:00+00:00,2710,2710,2760,2570,2570,34167100
2023-03-10 00:00:00+00:00,2620,2620,2680,2540,2680,44075900
2023-03-13 00:00:00+00:00,2560,2560,2630,2520,2550,24112100
2023-03-14 00:00:00+00:00,2390,2390,2580,2390,2540,53632600
2023-03-15 00:00:00+00:00,2260,2260,2470,2230,2430,33421400
2023-03-16 00:00:00+00:00,2160,2160,2220,2110,2220,40577800
2023-03-17 00:00:00+00:00,2240,2240,2270,2160,2210,36574900
2023-03-20 00:00:00+00:00,2140,2140,2250,2120,2240,16768900
2023-03-21 00:00:00+00:00,2350,2350,2370,2170,2170,51113400
2023-03-24 00:00:00+00:00,2380,2380,2440,2350,2370,36096500
2023-03-27 00:00:00+00:00,2280,2280,2400,2280,2390,27808900
2023-03-28 00:00:00+00:00,2230,2230,2330,2160,2300,41810900
2023-03-29 00:00:00+00:00,2430,2430,2520,2230,2230,82593100
2023-03-30 00:00:00+00:00,2490,2490,2600,2420,2460,43083600
2023-03-31 00:00:00+00:00,2420,2420,2540,2420,2500,18519400
2023-04-03 00:00:00+00:00,2490,2490,2520,2410,2470,11368300
2023-04-04 00:00:00+00:00,2390,2390,2510,2370,2500,16333200
2023-04-05 00:00:00+00:00,2390,2390,2430,2350,2390,13992500
2023-04-06 00:00:00+00:00,2330,2330,2400,2320,2400,14606300
2023-04-10 00:00:00+00:00,2240,2240,2360,2230,2330,8928200
2023-04-11 00:00:00+00:00,2350,2350,2370,2250,2250,15601000
2023-04-12 00:00:00+00:00,2290,2290,2380,2280,2350,14364200
2023-04-13 00:00:00+00:00,2240,2240,2340,2240,2300,6038000
2023-04-14 00:00:00+00:00,2200,2200,2380,2200,2280,38855900
2023-04-17 00:00:00+00:00,2140,2140,2230,2090,2210,16236400
2023-04-18 00:00:00+00:00,2090,2090,2190,2060,2150,26240200
2023-04-26 00:00:00+00:00,2000,2000,2110,1960,2100,40443700
2023-04-27 00:00:00+00:00,1995,1995,2070,1965,2000,27546200
2023-04-28 00:00:00+00:00,2070,2070,2140,1990,2020,33966100
2023-05-02 00:00:00+00:00,2130,2130,2160,2070,2080,28998900
2023-05-03 00:00:00+00:00,2170,2170,2210,2100,2130,31217200
2023-05-04 00:00:00+00:00,2140,2140,2180,2110,2180,22934800
2023-05-05 00:00:00+00:00,2180,2180,2250,2120,2140,26093300
2023-05-08 00:00:00+00:00,2240,2240,2280,2200,2260,19762000
2023-05-09 00:00:00+00:00,2310,2310,2380,2190,2260,35356700
2023-05-10 00:00:00+00:00,2340,2340,2380,2290,2310,26722800
2023-05-11 00:00:00+00:00,2320,2320,2530,2300,2350,31386200
2023-05-12 00:00:00+00:00,2490,2490,2520,2330,2350,44771200
2023-05-15 00:00:00+00:00,2450,2450,2530,2400,2500,23240400
2023-05-16 00:00:00+00:00,2420,2420,2490,2380,2450,11497400
2023-05-17 00:00:00+00:00,2380,2380,2440,2330,2420,11655100
2023-05-19 00:00:00+00:00,2410,2410,2450,2390,2410,7455900
2023-05-22 00:00:00+00:00,2530,2530,2560,2360,2420,23432400
2023-05-23 00:00:00+00:00,2620,2620,2670,2530,2530,37159700
2023-05-24 00:00:00+00:00,2550,2550,2620,2510,2620,19049100
2023-05-25 00:00:00+00:00,2510,2510,2590,2480,2550,6355900
2023-05-26 00:00:00+00:00,2340,2340,2570,2340,2530,22336000
2023-05-29 00:00:00+00:00,2300,2300,2370,2240,2330,26139000
2023-05-30 00:00:00+00:00,2420,2420,2450,2310,2330,20925000
2023-05-31 00:00:00+00:00,2380,2380,2460,2310,2430,14717400
2023-06-05 00:00:00+00:00,2500,2500,2580,2400,2400,27674500
2023-06-06 00:00:00+00:00,2570,2570,2600,2470,2520,25139000
2023-06-07 00:00:00+00:00,2630,2630,2700,2510,2580,43505700
2023-06-08 00:00:00+00:00,2940,2940,2980,2600,2620,62637400
2023-06-09 00:00:00+00:00,3190,3190,3190,3030,3030,68895800
2023-06-12 00:00:00+00:00,3150,3150,3320,3080,3190,37557800
2023-06-13 00:00:00+00:00,3080,3080,3250,3070,3170,23564600
2023-06-14 00:00:00+00:00,3100,3100,3160,2980,3100,34666500
2023-06-15 00:00:00+00:00,2920,2920,3140,2890,3110,25130300
2023-06-16 00:00:00+00:00,2920,2920,3010,2920,2930,16136200
2023-06-19 00:00:00+00:00,2980,2980,3040,2900,2940,21413000
2023-06-20 00:00:00+00:00,2910,2910,3010,2860,3000,19214700
2023-06-21 00:00:00+00:00,3220,3220,3230,2900,2910,40243800
2023-06-22 00:00:00+00:00,3230,3230,3280,3150,3220,35281900
2023-06-23 00:00:00+00:00,3070,3070,3250,3070,3230,18573400
2023-06-26 00:00:00+00:00,3220,3220,3220,2980,3080,35927500
2023-06-27 00:00:00+00:00,3180,3180,3330,3170,3220,29003700
2023-07-03 00:00:00+00:00,3240,3240,3250,3160,3190,16774300
2023-07-04 00:00:00+00:00,3460,3460,3490,3240,3240,31049500
2023-07-05 00:00:00+00:00,3350,3350,3520,3330,3480,20909600
2023-07-06 00:00:00+00:00,3300,3300,3400,3280,3340,17893300
2023-07-07 00:00:00+00:00,3230,3230,3370,3220,3290,12966800
2023-07-10 00:00:00+00:00,3150,3150,3310,3150,3220,22207900
2023-07-11 00:00:00+00:00,3160,3160,3250,3150,3150,11306300
2023-07-12 00:00:00+00:00,3160,3160,3250,3160,3180,15311200
2023-07-13 00:00:00+00:00,3210,3210,3320,3170,3220,21911800
2023-07-14 00:00:00+00:00,3200,3200,3250,3180,3240,6739400
2023-07-17 00:00:00+00:00,3200,3200,3260,3190,3210,12160400
2023-07-18 00:00:00+00:00,3020,3020,3220,3010,3200,25175000
2023-07-20 00:00:00+00:00,3020,3020,3080,3010,3040,15984400
2023-07-21 00:00:00+00:00,3040,3040,3050,3000,3020,12906900
2023-07-24 00:00:00+00:00,2960,2960,3080,2920,3050,27010100
2023-07-25 00:00:00+00:00,2990,2990,3030,2960,2960,17707400
2023-07-26 00:00:00+00:00,2980,2980,3020,2950,2990,17579500
2023-07-27 00:00:00+00:00,3010,3010,3080,2980,2980,18969200
2023-07-28 00:00:00+00:00,3010,3010,3030,2930,3010,16339700
2023-07-31 00:00:00+00:00,2910,2910,3030,2890,3020,21183100
2023-08-01 00:00:00+00:00,2940,2940,3010,2870,2970,29842500
2023-08-02 00:00:00+00:00,2650,2650,2950,2640,2940,41170500
2023-08-03 00:00:00+00:00,2670,2670,2720,2590,2650,24689900
2023-08-04 00:00:00+00:00,2650,2650,2690,2630,2670,14263600
2023-08-07 00:00:00+00:00,2600,2600,2680,2580,2650,10591500
2023-08-08 00:00:00+00:00,2730,2730,2760,2600,2600,19128400
2023-08-09 00:00:00+00:00,2600,2600,2780,2550,2740,16092700
2023-08-10 00:00:00+00:00,2560,2560,2630,2560,2590,11330800
2023-08-11 00:00:00+00:00,2600,2600,2620,2560,2560,10279000
2023-08-14 00:00:00+00:00,2620,2620,2640,2510,2600,17210900
2023-08-15 00:00:00+00:00,2580,2580,2650,2570,2650,9834800
2023-08-16 00:00:00+00:00,2640,2640,2720,2580,2600,18637500
2023-08-18 00:00:00+00:00,2590,2590,2670,2590,2640,7223100
2023-08-21 00:00:00+00:00,2510,2510,2610,2490,2590,12890900
2023-08-22 00:00:00+00:00,2520,2520,2540,2480,2530,7854100
2023-08-23 00:00:00+00:00,2500,2500,2550,2500,2520,6538800
2023-08-24 00:00:00+00:00,2500,2500,2590,2500,2500,9349400
2023-08-25 00:00:00+00:00,2420,2420,2530,2400,2500,10204200
2023-08-28 00:00:00+00:00,2410,2410,2460,2410,2450,3320000
