Date,Adj Close,Close,High,Low,Open,Volume
2022-11-07 00:00:00+00:00,1040.936523,1100,1145,1090,1135,29126500
2022-11-08 00:00:00+00:00,1040.936523,1100,1135,1100,1105,18180800
2022-11-09 00:00:00+00:00,1050.399536,1110,1155,1105,1120,31264400
2022-11-10 00:00:00+00:00,979.4266357,1035,1120,1035,1120,32779800
2022-11-11 00:00:00+00:00,1012.547302,1070,1085,1035,1050,32757600
2022-11-14 00:00:00+00:00,979.4266357,1035,1120,1020,1120,33305600
2022-11-15 00:00:00+00:00,955.7689209,1010,1050,1010,1035,19366500
2022-11-16 00:00:00+00:00,936.8428345,990,1015,970,1010,40489900
2022-11-17 00:00:00+00:00,941.5744019,995,1005,970,995,34296700
2022-11-18 00:00:00+00:00,974.6950684,1030,1040,995,1000,25731500
2022-11-21 00:00:00+00:00,960.5004883,1015,1045,1005,1040,16794500
2022-11-22 00:00:00+00:00,965.2319946,1020,1030,1010,1015,9811100
2022-11-23 00:00:00+00:00,965.2319946,1020,1040,1010,1025,14488100
2022-11-24 00:00:00+00:00,998.3526611,1055,1090,1030,1030,47980300
2022-11-25 00:00:00+00:00,979.4266357,1035,1080,1035,1060,20553100
2022-11-28 00:00:00+00:00,1007.815735,1065,1065,1005,1035,22064400
2022-11-29 00:00:00+00:00,1017.278809,1075,1085,1045,1070,22335300
2022-11-30 00:00:00+00:00,1007.815735,1065,1085,1055,1075,15028500
2022-12-01 00:00:00+00:00,1012.547302,1070,1095,1060,1070,17783100
2022-12-02 00:00:00+00:00,969.963562,1025,1080,1020,1070,21050200
2022-12-05 00:00:00+00:00,960.5004883,1015,1035,1010,1035,12680100
2022-12-06 00:00:00+00:00,927.3797607,980,1020,975,1020,38187200
2022-12-07 00:00:00+00:00,974.6950684,1030,1035,970,980,21414500
2022-12-08 00:00:00+00:00,979.4266357,1035,1040,1000,1030,12074600
2022-12-09 00:00:00+00:00,988.8896484,1045,1055,1015,1035,15867900
2022-12-12 00:00:00+00:00,974.6950684,1030,1060,1025,1050,5259200
2022-12-13 00:00:00+00:00,960.5004883,1015,1040,1010,1030,17004500
2022-12-14 00:00:00+00:00,951.0374146,1005,1030,1000,1015,15724500
2022-12-15 00:00:00+00:00,941.5744019,995,1015,990,1000,11018200
2022-12-16 00:00:00+00:00,965.2319946,1020,1025,990,990,10270000
2022-12-19 00:00:00+00:00,951.0374146,1005,1030,1005,1020,3270300
2022-12-20 00:00:00+00:00,932.1113281,985,1010,980,1005,20288100
2022-12-21 00:00:00+00:00,880.0644531,930,1000,925,985,28613600
2022-12-22 00:00:00+00:00,851.675354,900,950,900,930,22452800
2022-12-23 00:00:00+00:00,870.6013794,920,930,880,900,14386400
2022-12-26 00:00:00+00:00,851.675354,900,935,900,920,7376900
2022-12-27 00:00:00+00:00,861.1383057,910,920,900,900,7357500
2022-12-28 00:00:00+00:00,865.869873,915,930,905,920,6151300
2022-12-29 00:00:00+00:00,870.6013794,920,935,905,915,5897600
2022-12-30 00:00:00+00:00,865.869873,915,945,915,925,8083500
2023-01-02 00:00:00+00:00,870.6013794,920,925,915,915,1593800
2023-01-03 00:00:00+00:00,875.3329468,925,960,915,920,20164900
2023-01-04 00:00:00+00:00,856.4067993,905,940,900,925,9544800
2023-01-05 00:00:00+00:00,799.628479,845,920,845,900,25501700
2023-01-06 00:00:00+00:00,752.3131714,795,845,790,840,31564300
2023-01-09 00:00:00+00:00,780.7023315,825,830,800,800,10968400
2023-01-10 00:00:00+00:00,790.1654053,835,850,810,810,6330800
2023-01-11 00:00:00+00:00,794.8969727,840,845,815,835,8886400
2023-01-12 00:00:00+00:00,780.7023315,825,840,810,840,15272300
2023-01-13 00:00:00+00:00,842.2122803,890,890,825,825,25102900
