Date,Adj Close,Close,High,Low,Open,Volume
2022-11-07 00:00:00+00:00,9404.802734,9750,9775,9650,9725,8038600
2022-11-08 00:00:00+00:00,9404.802734,9750,9750,9650,9750,1953700
2022-11-09 00:00:00+00:00,9404.802734,9750,9775,9700,9750,7885600
2022-11-10 00:00:00+00:00,9380.6875,9725,9775,9700,9750,3773300
2022-11-11 00:00:00+00:00,9501.261719,9850,9900,9600,9800,8391000
2022-11-14 00:00:00+00:00,9404.802734,9750,9850,9725,9850,2114500
2022-11-15 00:00:00+00:00,9453.032227,9800,9825,9725,9750,5912100
2022-11-16 00:00:00+00:00,9428.916992,9775,9800,9600,9800,3665800
2022-11-17 00:00:00+00:00,9332.458008,9675,9800,9600,9750,3762600
2022-11-18 00:00:00+00:00,9308.342773,9650,9775,9500,9675,3350000
2022-11-21 00:00:00+00:00,9453.032227,9800,9825,9625,9650,2648000
2022-11-22 00:00:00+00:00,9308.342773,9650,9850,9650,9800,2625200
2022-11-23 00:00:00+00:00,9549.491211,9900,9900,9650,9650,2818100
2022-11-24 00:00:00+00:00,9453.032227,9800,9900,9775,9900,2652000
2022-11-25 00:00:00+00:00,9549.491211,9900,9900,9700,9800,4931600
2022-11-28 00:00:00+00:00,9621.835938,9975,10000,9825,9900,7923400
2022-11-29 00:00:00+00:00,9621.835938,9975,10000,9900,10000,4824800
2022-11-30 00:00:00+00:00,9742.411133,10100,10100,9900,9975,21565300
2022-12-01 00:00:00+00:00,9790.640625,10150,10175,9975,10100,11562700
2022-12-02 00:00:00+00:00,9838.870117,10200,10200,10025,10150,7169200
2022-12-05 00:00:00+00:00,9983.55957,10350,10350,10100,10175,6783100
2022-12-06 00:00:00+00:00,9983.55957,10350,10350,10150,10275,4223600
2022-12-07 00:00:00+00:00,9959.444336,10325,10350,10075,10350,5592100
2022-12-08 00:00:00+00:00,9838.870117,10200,10225,10050,10200,4883200
2022-12-09 00:00:00+00:00,9790.640625,10150,10225,10025,10200,3475600
2022-12-12 00:00:00+00:00,10031.78906,10400,10400,9925,10100,7138500
2022-12-13 00:00:00+00:00,9935.330078,10300,10400,10200,10400,5890400
2022-12-14 00:00:00+00:00,9959.444336,10325,10325,10150,10300,2376400
2022-12-15 00:00:00+00:00,9935.330078,10300,10350,10200,10300,3197500
2022-12-16 00:00:00+00:00,10055.9043,10425,10450,10250,10300,9094300
2022-12-19 00:00:00+00:00,9790.640625,10150,10400,10150,10400,3943600
2022-12-20 00:00:00+00:00,9935.330078,10300,10300,10050,10150,1999800
2022-12-21 00:00:00+00:00,9862.985352,10225,10300,10200,10275,1492500
2022-12-22 00:00:00+00:00,9766.525391,10125,10350,10025,10225,1609900
2022-12-23 00:00:00+00:00,9670.066406,10025,10175,10000,10125,1559600
2022-12-26 00:00:00+00:00,9790.640625,10150,10150,10000,10050,1028000
2022-12-27 00:00:00+00:00,9718.295898,10075,10200,10050,10150,1260200
2022-12-28 00:00:00+00:00,9814.755859,10175,10175,10000,10125,1017400
2022-12-29 00:00:00+00:00,9814.755859,10175,10175,9725,10150,3858600
2022-12-30 00:00:00+00:00,9645.951172,10000,10175,10000,10175,1958000
2023-01-02 00:00:00+00:00,9790.640625,10150,10200,9975,9975,1201400
2023-01-03 00:00:00+00:00,9814.755859,10175,10300,10100,10100,3169800
2023-01-04 00:00:00+00:00,9742.411133,10100,10250,10025,10225,3973100
