"Date","Price","Open","High","Low","Vol.","Change %"
"07/11/2022","1,015.28","1,005.98","1,015.28","998.87","2.32B","0.92%"
"08/11/2022","1,005.74","1,015.29","1,016.63","1,003.69","1.54B","-0.94%"
"09/11/2022","1,009.21","1,005.73","1,009.57","1,002.60","2.53B","0.34%"
"10/11/2022","991.65","1,009.21","1,009.21","990.13","2.97B","-1.74%"
"11/11/2022","1,012.94","991.68","1,016.64","991.68","5.46B","2.15%"
"14/11/2022","1,001.02","1,012.94","1,014.96","1,000.04","2.56B","-1.18%"
"15/11/2022","1,004.36","1,001.02","1,006.55","998.08","2.00B","0.33%"
"16/11/2022","1,000.96","1,004.36","1,006.55","990.09","3.50B","-0.34%"
"17/11/2022","1,004.92","1,000.96","1,007.90","992.73","2.03B","0.40%"
"18/11/2022","1,009.50","1,004.93","1,012.96","1,000.84","2.70B","0.46%"
"21/11/2022","1,002.40","1,009.50","1,013.12","1,001.78","2.31B","-0.70%"
"22/11/2022","996.87","1,002.40","1,008.84","996.87","3.04B","-0.55%"
"23/11/2022","998.50","996.88","1,005.72","996.07","2.23B","0.16%"
"24/11/2022","1,004.32","998.51","1,007.68","998.51","1.85B","0.58%"
"25/11/2022","1,001.74","1,004.33","1,005.21","994.82","2.01B","-0.26%"
"28/11/2022","996.76","1,001.73","1,007.51","996.74","3.48B","-0.50%"
"29/11/2022","995.22","996.75","999.81","992.13","3.39B","-0.15%"
"30/11/2022","1,008.28","995.23","1,010.21","991.16","8.37B","1.31%"
"01/12/2022","995.96","1,008.26","1,009.91","995.45","2.68B","-1.22%"
"02/12/2022","989.59","995.96","996.16","984.33","1.70B","-0.64%"
"05/12/2022","979.15","989.59","989.59","979.15","2.25B","-1.05%"
"06/12/2022","961.84","979.16","979.16","956.07","2.11B","-1.77%"
"07/12/2022","945.58","961.84","961.86","944.66","2.08B","-1.69%"
"08/12/2022","944.22","945.58","947.17","927.73","2.32B","-0.14%"
"09/12/2022","933.01","944.22","944.22","928.84","1.70B","-1.19%"
"12/12/2022","938.75","933.01","938.75","923.50","1.77B","0.61%"
"13/12/2022","952.79","938.75","955.68","934.94","27.98B","1.50%"
"14/12/2022","951.16","952.80","959.50","944.95","10.18B","-0.17%"
"15/12/2022","942.36","951.17","951.18","940.01","4.46B","-0.93%"
"16/12/2022","951.18","942.36","951.32","932.16","4.61B","0.94%"
"19/12/2022","946.85","951.18","953.62","941.28","3.10B","-0.46%"
"20/12/2022","938.90","946.85","947.02","936.98","4.40B","-0.84%"
"21/12/2022","941.66","938.90","942.78","935.22","3.66B","0.29%"
"22/12/2022","941.70","941.66","945.71","939.29","2.48B","0.00%"
"23/12/2022","934.26","941.69","941.69","933.13","2.38B","-0.79%"
"26/12/2022","935.15","934.27","938.91","931.22","2.37B","0.09%"
"27/12/2022","940.38","935.15","941.98","935.12","3.70B","0.56%"
"28/12/2022","933.69","940.39","942.56","930.52","2.94B","-0.71%"
