Date,Close,Open,High,Low,Vol.,Change %
7/11/2022,1015.28,1005.98,1015.28,998.87,2.32B,0.0092
8/11/2022,1005.74,1015.29,1016.63,1003.69,1.54B,-0.0094
9/11/2022,1009.21,1005.73,1009.57,1002.6,2.53B,0.0034
10/11/2022,991.65,1009.21,1009.21,990.13,2.97B,-0.0174
11/11/2022,1012.94,991.68,1016.64,991.68,5.46B,0.0215
14/11/2022,1001.02,1012.94,1014.96,1000.04,2.56B,-0.0118
15/11/2022,1004.36,1001.02,1006.55,998.08,2.00B,0.0033
16/11/2022,1000.96,1004.36,1006.55,990.09,3.50B,-0.0034
17/11/2022,1004.92,1000.96,1007.9,992.73,2.03B,0.004
18/11/2022,1009.5,1004.93,1012.96,1000.84,2.70B,0.0046
21/11/2022,1002.4,1009.5,1013.12,1001.78,2.31B,-0.007
22/11/2022,996.87,1002.4,1008.84,996.87,3.04B,-0.0055
23/11/2022,998.5,996.88,1005.72,996.07,2.23B,0.0016
24/11/2022,1004.32,998.51,1007.68,998.51,1.85B,0.0058
25/11/2022,1001.74,1004.33,1005.21,994.82,2.01B,-0.0026
28/11/2022,996.76,1001.73,1007.51,996.74,3.48B,-0.005
29/11/2022,995.22,996.75,999.81,992.13,3.39B,-0.0015
30/11/2022,1008.28,995.23,1010.21,991.16,8.37B,0.0131
1/12/2022,995.96,1008.26,1009.91,995.45,2.68B,-0.0122
2/12/2022,989.59,995.96,996.16,984.33,1.70B,-0.0064
5/12/2022,979.15,989.59,989.59,979.15,2.25B,-0.0105
6/12/2022,961.84,979.16,979.16,956.07,2.11B,-0.0177
7/12/2022,945.58,961.84,961.86,944.66,2.08B,-0.0169
8/12/2022,944.22,945.58,947.17,927.73,2.32B,-0.0014
9/12/2022,933.01,944.22,944.22,928.84,1.70B,-0.0119
12/12/2022,938.75,933.01,938.75,923.5,1.77B,0.0061
13/12/2022,952.79,938.75,955.68,934.94,27.98B,0.015
14/12/2022,951.16,952.8,959.5,944.95,10.18B,-0.0017
15/12/2022,942.36,951.17,951.18,940.01,4.46B,-0.0093
16/12/2022,951.18,942.36,951.32,932.16,4.61B,0.0094
19/12/2022,946.85,951.18,953.62,941.28,3.10B,-0.0046
20/12/2022,938.9,946.85,947.02,936.98,4.40B,-0.0084
21/12/2022,941.66,938.9,942.78,935.22,3.66B,0.0029
22/12/2022,941.7,941.66,945.71,939.29,2.48B,0
23/12/2022,934.26,941.69,941.69,933.13,2.38B,-0.0079
26/12/2022,935.15,934.27,938.91,931.22,2.37B,0.0009
27/12/2022,940.38,935.15,941.98,935.12,3.70B,0.0056
28/12/2022,933.69,940.39,942.56,930.52,2.94B,-0.0071
29/12/2022,939.87,933.69,940.06,926.8,5.04B,0.0066
30/12/2022,937.18,939.88,944.83,937.18,3.95B,-0.0029
2/1/2023,935.08,937.2,937.22,929.77,1.54B,-0.0022
3/1/2023,940.46,935.08,945.03,931.78,3.86B,0.0057
4/1/2023,928.53,940.46,941.88,928.53,3.28B,-0.0127
5/1/2023,909.66,928.54,928.57,902.98,3.94B,-0.0203
6/1/2023,913.02,909.65,913.98,899.61,2.19B,0.0037
9/1/2023,915.86,913.02,919.34,906.39,3.46B,0.0031
10/1/2023,901.09,915.86,916.22,894.19,3.52B,-0.0161
11/1/2023,894.95,901.09,901.14,889.01,2.37B,-0.0068
12/1/2023,905.68,894.95,911.22,893.01,4.12B,0.012
13/01/2023,905.49,905.68,909.26,898.22,7.75B,-0.0002
16/01/2023,913.32,905.49,913.32,902.9,4.59B,0.0086
17/01/2023,929.85,913.32,935.79,913.32,9.41B,0.0181
18/01/2023,929.76,929.82,933.54,921.88,5.38B,-0.0001
19/01/2023,937.61,929.76,938.53,927.72,3.83B,0.0084
20/01/2023,941.01,937.61,942.88,936.27,5.15B,0.0036
24/01/2023,939.35,941.01,945.18,935.77,7.77B,-0.0018
25/01/2023,932.34,939.35,941.33,931.09,6.71B,-0.0075
26/01/2023,941.64,932.34,943.85,931.52,4.20B,0.01
27/01/2023,949.73,941.64,956.18,941.64,3.98B,0.0086
30/01/2023,945.43,949.74,952.67,937.49,3.61B,-0.0045
31/01/2023,936.49,945.44,945.45,935.34,4.69B,-0.0095
1/2/2023,941.14,936.4,946.29,936.4,3.78B,0.005
2/2/2023,943.04,941.14,945.87,938.67,8.05B,0.002
3/2/2023,952.8,943.07,957.85,943.07,7.23B,0.0104
6/2/2023,948.45,952.8,956.52,941.66,3.62B,-0.0046
7/2/2023,956.61,948.45,959.43,948.19,4.96B,0.0086
8/2/2023,958.95,956.61,960.07,953.56,4.29B,0.0024
9/2/2023,952.23,958.95,962.91,951.51,6.37B,-0.007
10/2/2023,952.45,951.82,952.45,937.86,2.63B,0.0002
13/02/2023,953.22,952.45,956.88,949.28,11.80B,0.0008
14/02/2023,960.31,953.22,960.31,953.22,4.41B,0.0074
15/02/2023,957.64,960.31,960.88,948.38,4.27B,-0.0028
16/02/2023,953.49,957.64,960.5,951.41,5.20B,-0.0043
17/02/2023,954.38,953.49,958.33,950.52,8.81B,0.0009
20/02/2023,954.85,954.41,957.35,948.66,8.07B,0.0005
21/02/2023,950.51,954.85,957.96,950.16,4.19B,-0.0046
22/02/2023,939.99,950.48,950.89,934.95,5.84B,-0.0111
23/02/2023,944.43,940.02,944.71,938.33,3.49B,0.0047
24/02/2023,946.93,944.43,953,944.43,4.12B,0.0027
27/02/2023,948.08,946.93,948.48,940.6,3.43B,0.0012
28/02/2023,942.97,948.08,954.61,942.97,6.17B,-0.0054
1/3/2023,945.82,942.94,951.79,942.94,5.48B,0.003
2/3/2023,947.15,945.85,951.01,945.1,4.19B,0.0014
3/3/2023,938.96,947.15,951.48,937.58,3.66B,-0.0086
6/3/2023,938.72,939.02,946.56,938.72,4.95B,-0.0003
7/3/2023,935.74,938.69,941.19,934.26,5.09B,-0.0032
8/3/2023,939.03,935.74,939.03,930.04,5.59B,0.0035
9/3/2023,942.89,939.03,948.52,939.03,3.10B,0.0041
10/3/2023,937.14,942.89,942.89,934.22,3.66B,-0.0061
13/03/2023,939.84,937.08,944.1,931.72,5.76B,0.0029
14/03/2023,917.38,939.78,939.78,916.33,6.01B,-0.0239
15/03/2023,914.19,917.38,929.86,914.19,4.66B,-0.0035
16/03/2023,907.5,914.19,914.9,903.43,4.82B,-0.0073
17/03/2023,924.25,907.5,926.47,907.5,35.54B,0.0185
20/03/2023,915.57,924.25,924.25,910.83,3.89B,-0.0094
21/03/2023,929.99,915.57,929.99,914.23,5.72B,0.0158
24/03/2023,941.04,930.46,943.88,929.19,5.81B,0.0119
27/03/2023,929.1,941.04,943.05,929.1,3.06B,-0.0127
28/03/2023,935.31,929.1,936.66,929.1,3.06B,0.0067
29/03/2023,947,935.31,949.25,935.31,3.90B,0.0125
30/03/2023,939.61,947,951.03,938.19,4.09B,-0.0078
31/03/2023,937.68,939.63,943.78,935.45,4.73B,-0.002
3/4/2023,943.07,937.68,946.46,937.65,3.63B,0.0057
4/4/2023,943.14,943.04,947.51,934.8,2.85B,0.0001
5/4/2023,940.69,943.14,949.17,940.5,3.53B,-0.0026
6/4/2023,937.2,940.69,943.29,936.39,8.73B,-0.0037
10/4/2023,935.59,937.2,938.42,928.35,4.93B,-0.0017
11/4/2023,941.78,935.59,941.78,929.79,7.21B,0.0066
12/4/2023,943.18,941.81,946.29,938.87,5.78B,0.0015
13/04/2023,943.89,943.09,947.78,940.28,7.07B,0.0008
14/04/2023,950.9,943.94,954.33,943.91,5.51B,0.0074
17/04/2023,943.42,950.93,952.48,939.21,2.86B,-0.0079
18/04/2023,948.34,943.42,952.9,942.7,2.46B,0.0052
26/04/2023,963.21,948.34,966.26,948.29,4.35B,0.0157
27/04/2023,965.08,963.34,968.02,956.97,7.61B,0.0019
28/04/2023,961.75,965.08,968.84,959.08,4.71B,-0.0035
2/5/2023,955.61,961.75,963.09,945.61,3.50B,-0.0064
3/5/2023,947.65,955.61,956.54,940.33,3.45B,-0.0083
4/5/2023,952.28,947.65,953.58,943.17,5.13B,0.0049
5/5/2023,945.05,952.28,954.06,935.91,4.78B,-0.0076
8/5/2023,938.05,945.02,946.45,936.9,6.06B,-0.0074
9/5/2023,940.48,938.05,942.4,933.13,6.08B,0.0026
10/5/2023,947.49,940.57,948.53,939.33,7.59B,0.0075
11/5/2023,940.15,947.49,948.28,932.87,7.30B,-0.0078
12/5/2023,932.22,940.15,940.15,931.72,8.67B,-0.0084
15/05/2023,935,932.36,936.67,925.16,5.47B,0.003
16/05/2023,929.77,935,938.58,926.55,5.10B,-0.0056
17/05/2023,929.16,929.74,936.81,929.16,7.70B,-0.0006
19/05/2023,939.57,929.16,943.11,929.09,6.28B,0.0112
