Date,Adj Close,Close,High,Low,Open,Volume
2022-11-07 00:00:00+00:00,1511.981689,1850,1925,1840,1920,229111200
2022-11-08 00:00:00+00:00,1516.068115,1855,1900,1850,1850,106914700
2022-11-09 00:00:00+00:00,1495.635864,1830,1875,1830,1850,85043800
2022-11-10 00:00:00+00:00,1471.11731,1800,1830,1765,1830,110580700
2022-11-11 00:00:00+00:00,1487.463013,1820,1835,1780,1825,89195600
2022-11-14 00:00:00+00:00,1479.290161,1810,1835,1805,1830,60707500
2022-11-15 00:00:00+00:00,1471.11731,1800,1825,1790,1825,45414100
2022-11-16 00:00:00+00:00,1475.203735,1805,1810,1780,1805,34721300
2022-11-17 00:00:00+00:00,1471.11731,1800,1830,1800,1810,56500000
2022-11-18 00:00:00+00:00,1467.030884,1795,1815,1790,1805,21912100
2022-11-21 00:00:00+00:00,1471.11731,1800,1815,1790,1805,15603200
2022-11-22 00:00:00+00:00,1536.500244,1880,1885,1810,1815,123915200
2022-11-23 00:00:00+00:00,1548.759644,1895,1900,1865,1890,50996500
2022-11-24 00:00:00+00:00,1532.41394,1875,1905,1875,1900,19981700
2022-11-25 00:00:00+00:00,1516.068115,1855,1880,1850,1875,20408000
2022-11-28 00:00:00+00:00,1507.895264,1845,1865,1835,1850,32216300
2022-11-29 00:00:00+00:00,1520.154541,1860,1875,1855,1855,30670000
2022-11-30 00:00:00+00:00,1536.500244,1880,1915,1860,1860,107333400
2022-12-01 00:00:00+00:00,1552.846069,1900,1920,1890,1900,58421400
2022-12-02 00:00:00+00:00,1544.673096,1890,1905,1875,1900,21365800
2022-12-05 00:00:00+00:00,1516.068115,1855,1905,1855,1890,28707000
2022-12-06 00:00:00+00:00,1495.635864,1830,1845,1800,1845,50900100
2022-12-07 00:00:00+00:00,1499.722412,1835,1840,1810,1830,41257100
2022-12-08 00:00:00+00:00,1511.981689,1850,1860,1800,1835,59926700
2022-12-09 00:00:00+00:00,1471.11731,1800,1865,1795,1855,67891200
2022-12-12 00:00:00+00:00,1491.549561,1825,1825,1785,1800,23620300
2022-12-13 00:00:00+00:00,1487.463013,1820,1835,1815,1830,20479200
2022-12-14 00:00:00+00:00,1491.549561,1825,1865,1820,1835,29273500
2022-12-15 00:00:00+00:00,1479.290161,1810,1835,1810,1825,16453300
2022-12-16 00:00:00+00:00,1495.635864,1830,1830,1800,1805,26631300
2022-12-19 00:00:00+00:00,1487.463013,1820,1840,1820,1830,13310300
2022-12-20 00:00:00+00:00,1487.463013,1820,1835,1815,1820,9417200
2022-12-21 00:00:00+00:00,1487.463013,1820,1835,1815,1835,9493200
2022-12-22 00:00:00+00:00,1491.549561,1825,1835,1815,1825,12836200
2022-12-23 00:00:00+00:00,1462.944336,1790,1825,1785,1825,18718700
2022-12-26 00:00:00+00:00,1467.030884,1795,1815,1780,1790,17117900
2022-12-27 00:00:00+00:00,1434.339355,1755,1800,1755,1795,31721100
2022-12-28 00:00:00+00:00,1438.425903,1760,1770,1750,1755,10904600
2022-12-29 00:00:00+00:00,1450.685181,1775,1780,1745,1750,9892800
2022-12-30 00:00:00+00:00,1438.425903,1760,1780,1760,1775,15749300
2023-01-02 00:00:00+00:00,1422.080078,1740,1770,1740,1760,7017500
2023-01-03 00:00:00+00:00,1417.993652,1735,1765,1730,1735,19098400
2023-01-04 00:00:00+00:00,1356.697144,1660,1740,1650,1735,64329200
2023-01-05 00:00:00+00:00,1270.881958,1555,1660,1550,1660,89781500
2023-01-06 00:00:00+00:00,1295.400513,1585,1610,1555,1555,35592100
2023-01-09 00:00:00+00:00,1254.536133,1535,1610,1505,1585,49885500
2023-01-10 00:00:00+00:00,1283.141235,1570,1570,1520,1535,39678300
2023-01-11 00:00:00+00:00,1250.449707,1530,1575,1520,1570,36386000
2023-01-12 00:00:00+00:00,1246.363281,1525,1570,1520,1535,43841100
2023-01-13 00:00:00+00:00,1258.622559,1540,1550,1525,1530,22283700
2023-01-16 00:00:00+00:00,1258.622559,1540,1555,1525,1540,21166800
2023-01-17 00:00:00+00:00,1254.536133,1535,1565,1535,1550,48147500
2023-01-18 00:00:00+00:00,1283.141235,1570,1585,1540,1545,62685900
2023-01-19 00:00:00+00:00,1295.400513,1585,1595,1555,1560,34847100
2023-01-20 00:00:00+00:00,1324.005615,1620,1630,1585,1595,50826300
2023-01-24 00:00:00+00:00,1303.573364,1595,1650,1585,1635,52004100
2023-01-25 00:00:00+00:00,1287.227661,1575,1605,1575,1600,18234700
2023-01-26 00:00:00+00:00,1274.968384,1560,1600,1555,1575,44238100
2023-01-27 00:00:00+00:00,1279.05481,1565,1590,1560,1565,33872900
2023-01-30 00:00:00+00:00,1279.05481,1565,1590,1560,1570,17091800
2023-01-31 00:00:00+00:00,1262.709106,1545,1580,1545,1570,52732800
2023-02-01 00:00:00+00:00,1283.141235,1570,1615,1545,1550,61527900
2023-02-02 00:00:00+00:00,1311.746216,1605,1635,1585,1590,96442100
2023-02-03 00:00:00+00:00,1279.05481,1565,1615,1565,1610,47140700
2023-02-06 00:00:00+00:00,1291.314087,1580,1595,1560,1565,53554000
2023-02-07 00:00:00+00:00,1311.746216,1605,1615,1580,1595,49152500
2023-02-08 00:00:00+00:00,1303.573364,1595,1625,1595,1620,53734100
2023-02-09 00:00:00+00:00,1311.746216,1605,1625,1590,1595,37535800
2023-02-10 00:00:00+00:00,1311.746216,1605,1615,1580,1605,34863900
2023-02-13 00:00:00+00:00,1328.091919,1625,1640,1610,1610,48156300
2023-02-14 00:00:00+00:00,1319.919067,1615,1640,1615,1625,35028900
2023-02-15 00:00:00+00:00,1319.919067,1615,1630,1600,1620,21223500
2023-02-16 00:00:00+00:00,1287.227661,1575,1625,1575,1620,44398900
2023-02-17 00:00:00+00:00,1299.486938,1590,1610,1575,1580,30355800
2023-02-20 00:00:00+00:00,1295.400513,1585,1600,1580,1590,17384000
2023-02-21 00:00:00+00:00,1283.141235,1570,1600,1565,1585,17657700
2023-02-22 00:00:00+00:00,1258.622559,1540,1575,1540,1565,41323300
2023-02-23 00:00:00+00:00,1254.536133,1535,1555,1530,1545,24410900
2023-02-24 00:00:00+00:00,1246.363281,1525,1560,1525,1545,23483900
2023-02-27 00:00:00+00:00,1254.536133,1535,1545,1525,1525,21865400
2023-02-28 00:00:00+00:00,1279.05481,1565,1565,1535,1540,26805300
2023-03-01 00:00:00+00:00,1266.79541,1550,1575,1545,1570,17630000
2023-03-02 00:00:00+00:00,1307.65979,1600,1605,1550,1555,48581200
2023-03-03 00:00:00+00:00,1291.314087,1580,1615,1580,1600,36370100
2023-03-06 00:00:00+00:00,1307.65979,1600,1610,1580,1590,23867800
2023-03-07 00:00:00+00:00,1270.881958,1555,1600,1545,1600,37451000
2023-03-08 00:00:00+00:00,1262.709106,1545,1555,1525,1555,26842900
2023-03-09 00:00:00+00:00,1279.05481,1565,1570,1540,1540,24852200
2023-03-10 00:00:00+00:00,1266.79541,1550,1560,1535,1555,13615000
2023-03-13 00:00:00+00:00,1262.709106,1545,1550,1530,1545,13429900
2023-03-14 00:00:00+00:00,1201.412476,1470,1545,1460,1535,56486700
2023-03-15 00:00:00+00:00,1152.375122,1410,1495,1410,1470,69916100
2023-03-16 00:00:00+00:00,1107.424438,1355,1420,1350,1410,83368900
2023-03-17 00:00:00+00:00,1136.029419,1390,1395,1360,1360,68829100
2023-03-20 00:00:00+00:00,1091.078613,1335,1390,1325,1390,40883400
2023-03-21 00:00:00+00:00,1103.338013,1350,1365,1340,1345,48695800
2023-03-24 00:00:00+00:00,1111.510864,1360,1380,1355,1355,53883000
2023-03-27 00:00:00+00:00,1123.770142,1375,1405,1365,1365,41984600
2023-03-28 00:00:00+00:00,1131.942993,1385,1415,1375,1395,46127400
2023-03-29 00:00:00+00:00,1148.288818,1405,1415,1385,1385,65224400
2023-03-30 00:00:00+00:00,1140.115967,1395,1425,1395,1405,34693000
2023-03-31 00:00:00+00:00,1127.856567,1380,1405,1380,1400,32743600
2023-04-03 00:00:00+00:00,1107.424438,1355,1420,1350,1420,96215600
2023-04-04 00:00:00+00:00,1148.288818,1405,1410,1340,1355,112937600
2023-04-05 00:00:00+00:00,1131.942993,1385,1420,1385,1405,57451300
2023-04-06 00:00:00+00:00,1115.59729,1365,1395,1365,1385,53464400
2023-04-10 00:00:00+00:00,1107.424438,1355,1380,1350,1365,36757700
2023-04-11 00:00:00+00:00,1123.770142,1375,1390,1360,1365,42299700
2023-04-12 00:00:00+00:00,1131.942993,1385,1395,1375,1390,42148500
2023-04-13 00:00:00+00:00,1127.856567,1380,1400,1375,1390,35696700
2023-04-14 00:00:00+00:00,1136.029419,1390,1400,1380,1385,76370600
2023-04-17 00:00:00+00:00,1148.288818,1405,1430,1380,1380,95126600
2023-04-18 00:00:00+00:00,1160.548096,1420,1430,1405,1410,58316500
2023-04-26 00:00:00+00:00,1180.980347,1445,1460,1410,1420,81029100
2023-04-27 00:00:00+00:00,1168.720947,1430,1455,1430,1445,36831400
2023-04-28 00:00:00+00:00,1168.720947,1430,1450,1425,1435,34379200
2023-05-02 00:00:00+00:00,1136.029419,1390,1435,1380,1430,89157300
2023-05-03 00:00:00+00:00,1140.115967,1395,1400,1365,1375,37147400
