Date,Adj Close,Close,High,Low,Open,Volume
2022-11-07 00:00:00+00:00,2331.355957,3830,3840,3760,3760,20922900
2022-11-08 00:00:00+00:00,2307.007568,3790,3810,3760,3800,19180800
2022-11-09 00:00:00+00:00,2227.875244,3660,3780,3660,3780,58128700
2022-11-10 00:00:00+00:00,2112.220703,3470,3580,3430,3550,84559700
2022-11-11 00:00:00+00:00,2118.307617,3480,3520,3460,3470,27996300
2022-11-14 00:00:00+00:00,2118.307617,3480,3550,3460,3490,27835700
2022-11-15 00:00:00+00:00,2130.481934,3500,3530,3470,3510,16334300
2022-11-16 00:00:00+00:00,2130.481934,3500,3560,3490,3540,23171500
2022-11-17 00:00:00+00:00,2160.917236,3550,3560,3460,3500,13789700
2022-11-18 00:00:00+00:00,2160.917236,3550,3570,3520,3550,11151000
2022-11-21 00:00:00+00:00,2221.78833,3650,3650,3550,3550,21065200
2022-11-22 00:00:00+00:00,2246.136719,3690,3690,3630,3650,15741500
2022-11-23 00:00:00+00:00,2252.223633,3700,3740,3680,3690,11413000
2022-11-24 00:00:00+00:00,2246.136719,3690,3720,3680,3700,6081200
2022-11-25 00:00:00+00:00,2215.701172,3640,3700,3640,3690,6007100
2022-11-28 00:00:00+00:00,2240.049561,3680,3710,3640,3640,9513300
2022-11-29 00:00:00+00:00,2282.65918,3750,3770,3710,3730,14829100
2022-11-30 00:00:00+00:00,2313.094727,3800,3810,3770,3780,26589900
2022-12-01 00:00:00+00:00,2319.181641,3810,3850,3800,3820,13035900
2022-12-02 00:00:00+00:00,2294.833252,3770,3810,3760,3800,8869700
2022-12-05 00:00:00+00:00,2246.136719,3690,3800,3690,3800,10447500
2022-12-06 00:00:00+00:00,2227.875244,3660,3730,3650,3720,10636100
2022-12-07 00:00:00+00:00,2246.136719,3690,3740,3670,3670,15604000
2022-12-08 00:00:00+00:00,2252.223633,3700,3710,3610,3700,12590200
2022-12-09 00:00:00+00:00,2203.5271,3620,3680,3610,3680,11010300
2022-12-12 00:00:00+00:00,2313.094727,3800,3820,3620,3620,24873400
2022-12-13 00:00:00+00:00,2264.397949,3720,3800,3720,3800,13723700
2022-12-14 00:00:00+00:00,2307.007568,3790,3840,3750,3760,21040500
2022-12-15 00:00:00+00:00,2294.833252,3770,3830,3760,3780,14399200
2022-12-16 00:00:00+00:00,2313.094727,3800,3800,3720,3750,15471000
2022-12-19 00:00:00+00:00,2325.268799,3820,3820,3780,3800,11047100
2022-12-20 00:00:00+00:00,2294.833252,3770,3820,3760,3810,12167500
2022-12-21 00:00:00+00:00,2288.746338,3760,3790,3740,3790,6824700
2022-12-22 00:00:00+00:00,2288.746338,3760,3800,3740,3760,5661500
2022-12-23 00:00:00+00:00,2276.572021,3740,3760,3730,3750,6330000
2022-12-26 00:00:00+00:00,2252.223633,3700,3750,3690,3740,9093600
2022-12-27 00:00:00+00:00,2246.136719,3690,3710,3670,3690,6339500
2022-12-28 00:00:00+00:00,2233.962646,3670,3710,3660,3690,5923500
2022-12-29 00:00:00+00:00,2233.962646,3670,3690,3660,3670,5196900
2022-12-30 00:00:00+00:00,2246.136719,3690,3700,3650,3670,9279800
2023-01-02 00:00:00+00:00,2246.136719,3690,3740,3680,3690,3809800
2023-01-03 00:00:00+00:00,2270.485107,3730,3740,3680,3690,8567800
2023-01-04 00:00:00+00:00,2203.5271,3620,3730,3620,3730,13984400
2023-01-05 00:00:00+00:00,2075.697998,3410,3630,3390,3620,29603400
2023-01-06 00:00:00+00:00,2087.872314,3430,3500,3380,3400,17087900
2023-01-09 00:00:00+00:00,1996.565918,3280,3450,3260,3430,33010300
2023-01-10 00:00:00+00:00,2045.262573,3360,3370,3240,3280,17511900
2023-01-11 00:00:00+00:00,2069.611084,3400,3410,3310,3380,11056600
2023-01-12 00:00:00+00:00,2027.001465,3330,3380,3330,3360,10809700
2023-01-13 00:00:00+00:00,2027.001465,3330,3360,3320,3330,6907600
