Date,Adj Close,Close,High,Low,Open,Volume
2022-11-07 00:00:00+00:00,655.7139282,745,745,735,740,10332500
2022-11-08 00:00:00+00:00,654.3693848,730,745,725,740,13804300
2022-11-09 00:00:00+00:00,654.3693848,730,735,725,730,8079600
2022-11-10 00:00:00+00:00,663.333313,740,740,720,730,17077600
2022-11-11 00:00:00+00:00,663.333313,740,745,730,740,24651600
2022-11-14 00:00:00+00:00,685.7432861,765,765,735,740,46074300
2022-11-15 00:00:00+00:00,690.2252197,770,775,760,765,39228800
2022-11-16 00:00:00+00:00,685.7432861,765,780,760,770,23613400
2022-11-17 00:00:00+00:00,681.2612915,760,775,720,720,15912400
2022-11-18 00:00:00+00:00,676.7792969,755,765,755,760,7150000
2022-11-21 00:00:00+00:00,690.2252197,770,775,755,755,27438400
2022-11-22 00:00:00+00:00,690.2252197,770,775,750,775,30027800
2022-11-23 00:00:00+00:00,685.7432861,765,775,765,770,28789000
2022-11-24 00:00:00+00:00,685.7432861,765,770,760,765,8337600
2022-11-25 00:00:00+00:00,694.7071533,775,775,765,765,12173100
2022-11-28 00:00:00+00:00,694.7071533,775,775,765,775,16728200
2022-11-29 00:00:00+00:00,694.7071533,775,780,770,775,25663800
2022-11-30 00:00:00+00:00,703.6711426,785,790,770,785,35536000
2022-12-01 00:00:00+00:00,708.1531982,790,790,780,785,19147500
2022-12-02 00:00:00+00:00,703.6711426,785,790,780,790,12752400
2022-12-05 00:00:00+00:00,690.2252197,770,790,755,785,19470600
2022-12-06 00:00:00+00:00,672.2972412,750,770,740,770,23581100
2022-12-07 00:00:00+00:00,676.7792969,755,755,730,750,9496500
2022-12-08 00:00:00+00:00,681.2612915,760,770,750,765,19893900
2022-12-09 00:00:00+00:00,685.7432861,765,770,750,760,23729500
2022-12-12 00:00:00+00:00,690.2252197,770,775,760,765,15491400
2022-12-13 00:00:00+00:00,681.2612915,760,770,755,770,4848700
2022-12-14 00:00:00+00:00,690.2252197,770,770,760,760,5006500
2022-12-15 00:00:00+00:00,681.2612915,760,770,760,770,5476500
2022-12-16 00:00:00+00:00,676.7792969,755,765,740,760,6611900
2022-12-19 00:00:00+00:00,663.333313,740,765,740,760,8420500
2022-12-20 00:00:00+00:00,676.7792969,755,755,735,740,7142400
2022-12-21 00:00:00+00:00,685.7432861,765,765,755,755,12392200
2022-12-22 00:00:00+00:00,690.2252197,770,785,755,785,15811100
2022-12-23 00:00:00+00:00,672.2972412,750,770,750,770,11238000
2022-12-26 00:00:00+00:00,676.7792969,755,760,750,750,3367600
2022-12-27 00:00:00+00:00,676.7792969,755,760,750,755,4379200
2022-12-28 00:00:00+00:00,676.7792969,755,760,750,755,11546300
2022-12-29 00:00:00+00:00,676.7792969,755,760,750,755,2838700
2022-12-30 00:00:00+00:00,676.7792969,755,760,750,755,5382700
2023-01-02 00:00:00+00:00,667.8152466,745,760,740,755,7425300
2023-01-03 00:00:00+00:00,667.8152466,745,755,735,745,14822100
2023-01-04 00:00:00+00:00,676.7792969,755,760,740,745,20246600
2023-01-05 00:00:00+00:00,663.333313,740,760,735,755,21265300
2023-01-06 00:00:00+00:00,667.8152466,745,745,735,745,21720400
