Date,Adj Close,Close,High,Low,Open,Volume
2022-11-07 00:00:00+00:00,22236.875,31275,31275,30700,31225,3599400
2022-11-08 00:00:00+00:00,22165.77344,31175,31275,30800,31275,4950900
2022-11-09 00:00:00+00:00,22041.3457,31000,31150,30575,31150,5943300
2022-11-10 00:00:00+00:00,20903.73047,29400,30550,29300,30550,9061400
2022-11-11 00:00:00+00:00,20619.32422,29000,29750,29000,29500,6478800
2022-11-14 00:00:00+00:00,20406.01953,28700,29200,28500,29000,5804000
2022-11-15 00:00:00+00:00,20370.46875,28650,28775,28125,28125,5751300
2022-11-16 00:00:00+00:00,20441.57031,28750,28800,28300,28700,6942800
2022-11-17 00:00:00+00:00,20352.69531,28625,28700,28150,28500,3085800
2022-11-18 00:00:00+00:00,20477.12109,28800,29050,28325,28500,2946300
2022-11-21 00:00:00+00:00,20477.12109,28800,29275,28675,29100,3245900
2022-11-22 00:00:00+00:00,20583.77344,28950,29200,28800,28800,4743200
2022-11-23 00:00:00+00:00,21063.70508,29625,29950,29050,29050,6978000
2022-11-24 00:00:00+00:00,21312.56055,29975,30100,29725,29725,2407700
2022-11-25 00:00:00+00:00,21223.68359,29850,30000,29500,29950,3091000
2022-11-28 00:00:00+00:00,21152.58203,29750,30025,29675,29775,3434000
2022-11-29 00:00:00+00:00,21828.04297,30700,30825,29750,29750,5461300
2022-11-30 00:00:00+00:00,21899.14258,30800,31250,30450,30700,12416200
2022-12-01 00:00:00+00:00,21810.26758,30675,31175,30525,31000,5655100
2022-12-02 00:00:00+00:00,20779.30273,29225,30600,29225,30600,6103900
2022-12-05 00:00:00+00:00,20263.81836,28500,29500,28500,29225,5464300
2022-12-06 00:00:00+00:00,19979.41406,28100,28625,27900,28500,7208000
2022-12-07 00:00:00+00:00,19943.86523,28050,28650,27525,28125,10339900
2022-12-08 00:00:00+00:00,19410.60547,27300,28025,27025,27900,9505400
2022-12-09 00:00:00+00:00,18575.16797,26125,27175,26125,27025,16636200
2022-12-12 00:00:00+00:00,19108.42578,26875,26925,26025,26125,7702300
2022-12-13 00:00:00+00:00,19072.875,26825,27125,26600,26850,4898200
2022-12-14 00:00:00+00:00,19090.65039,26850,27350,26825,26825,5423900
2022-12-15 00:00:00+00:00,18859.57227,26525,26800,26525,26775,4393300
2022-12-16 00:00:00+00:00,18877.3457,26550,26775,26250,26475,9488700
2022-12-19 00:00:00+00:00,19090.65039,26850,26850,26300,26300,6872900
2022-12-20 00:00:00+00:00,18948.44727,26650,27025,26400,26850,3269900
2022-12-21 00:00:00+00:00,18930.67383,26625,26850,26425,26625,1626500
2022-12-22 00:00:00+00:00,19197.30273,27000,27000,26450,26750,2938200
2022-12-23 00:00:00+00:00,19108.42578,26875,27000,26625,27000,1201500
2022-12-26 00:00:00+00:00,18770.69531,26400,26900,26375,26900,1719900
2022-12-27 00:00:00+00:00,18930.67383,26625,26850,26375,26400,2040700
2022-12-28 00:00:00+00:00,18610.71875,26175,26700,26025,26625,2997300
2022-12-29 00:00:00+00:00,18681.81836,26275,26350,25675,26125,2879100
2022-12-30 00:00:00+00:00,18539.61719,26075,26400,26075,26275,2527400
2023-01-02 00:00:00+00:00,18344.08789,25800,26150,25800,26100,1202600
2023-01-03 00:00:00+00:00,18415.18945,25900,26000,25700,25850,2217400
2023-01-04 00:00:00+00:00,17170.91992,24150,26000,24150,25900,8118200
2023-01-05 00:00:00+00:00,17544.20117,24675,24900,23600,24025,10800300
2023-01-06 00:00:00+00:00,17757.50586,24975,25200,24500,24825,3662700
2023-01-09 00:00:00+00:00,17561.97656,24700,25200,24275,25000,4614600
2023-01-10 00:00:00+00:00,17739.72852,24950,25250,24300,24575,5253000
2023-01-11 00:00:00+00:00,17828.60742,25075,25075,24400,24725,3983300
2023-01-12 00:00:00+00:00,17739.72852,24950,25125,24800,24900,3982700
2023-01-13 00:00:00+00:00,17170.91992,24150,25025,24025,25000,5715600
2023-01-16 00:00:00+00:00,17224.24414,24225,24350,24100,24175,3296800
2023-01-17 00:00:00+00:00,17295.3457,24325,24600,24225,24225,6142400
2023-01-18 00:00:00+00:00,17597.52734,24750,24750,24275,24300,5610800
2023-01-19 00:00:00+00:00,18664.04492,26250,26275,24600,24650,7470900
2023-01-20 00:00:00+00:00,19037.32422,26775,26775,25950,26350,6563600
2023-01-24 00:00:00+00:00,18575.16797,26125,26925,26025,26775,2635200
2023-01-25 00:00:00+00:00,18521.8418,26050,26125,25725,26125,2769700
2023-01-26 00:00:00+00:00,17953.0332,25250,25900,25250,25900,6387400
2023-01-27 00:00:00+00:00,18184.11133,25575,25800,25275,25275,6364500
2023-01-30 00:00:00+00:00,17953.0332,25250,25775,24950,25275,4871700
2023-01-31 00:00:00+00:00,17455.32422,24550,25350,24550,25200,9282300
2023-02-01 00:00:00+00:00,17579.75,24725,25025,24575,24600,3148400
2023-02-02 00:00:00+00:00,17135.37109,24100,25000,24100,24725,9902000
2023-02-03 00:00:00+00:00,17064.26953,24000,24350,23950,24175,6136300
2023-02-06 00:00:00+00:00,17010.94336,23925,24225,23800,24000,6157800
2023-02-07 00:00:00+00:00,17704.17773,24900,25375,24300,24425,10437600
2023-02-08 00:00:00+00:00,17633.07813,24800,25275,24650,25100,4216900
2023-02-09 00:00:00+00:00,17419.77344,24500,24925,24500,24575,4136400
2023-02-10 00:00:00+00:00,17419.77344,24500,24600,24200,24225,6881200
2023-02-13 00:00:00+00:00,17508.65039,24625,24875,24450,24800,3348900
2023-02-14 00:00:00+00:00,17597.52734,24750,24750,24450,24650,2998800
2023-02-15 00:00:00+00:00,17686.4043,24875,25200,24525,24775,3127800
2023-02-16 00:00:00+00:00,17526.42578,24650,24975,24550,24900,1589400
2023-02-17 00:00:00+00:00,17508.65039,24625,24650,24350,24575,2096000
2023-02-20 00:00:00+00:00,17277.57227,24300,24525,24000,24525,3973800
2023-02-21 00:00:00+00:00,17064.26953,24000,24400,24000,24300,1748900
2023-02-22 00:00:00+00:00,17295.3457,24325,24400,24050,24250,1693300
2023-02-23 00:00:00+00:00,17561.97656,24700,24900,24375,24475,3322100
2023-02-24 00:00:00+00:00,17739.72852,24950,25200,24800,24900,2816700
2023-02-27 00:00:00+00:00,17899.70703,25175,25200,24900,25025,2847000
2023-02-28 00:00:00+00:00,19837.21289,27900,30150,27750,29200,29878100
2023-03-01 00:00:00+00:00,19606.13281,27575,28350,27550,28050,6648300
2023-03-02 00:00:00+00:00,20139.39258,28325,28450,27650,27700,5345700
2023-03-03 00:00:00+00:00,19997.18945,28125,28475,28000,28375,3932500
2023-03-06 00:00:00+00:00,19659.45898,27650,28275,27650,28175,4064800
2023-03-07 00:00:00+00:00,19072.875,26825,27675,26800,27650,7376100
2023-03-08 00:00:00+00:00,18770.69531,26400,26875,26200,26725,7875500
2023-03-09 00:00:00+00:00,19215.07813,27025,27425,26600,26825,5548200
2023-03-10 00:00:00+00:00,19072.875,26825,27150,26600,27000,3722200
